t1,t2,colony,num_cells1,num_cells2,method,tp,fp,tn,fn,acc,f1,timediff
34,35,240102_30C_fig_SX387_05,4,4,gcn,4,0,12,0,1.0,1.0,5
100,104,240102_30C_fig_SX387_05,16,16,gcn,16,0,240,0,1.0,1.0,20
72,73,240102_30C_fig_SX387_03,27,27,gcn,27,0,702,0,1.0,1.0,5
59,62,240102_30C_fig_SX387_03,24,24,gcn,24,0,552,0,1.0,1.0,15
20,22,240102_30C_fig_SX387_05,4,4,gcn,4,0,12,0,1.0,1.0,10
39,40,240102_30C_fig_SX387_05,4,5,gcn,3,1,16,0,0.95,0.8571428571428571,5
11,15,240102_30C_fig_SW182_01,7,9,gcn,5,2,56,0,0.9682539682539683,0.8333333333333334,20
8,12,240102_30C_fig_SX387_01,12,15,gcn,9,3,168,0,0.9833333333333333,0.8571428571428571,20
78,81,240102_30C_fig_SX387_03,35,39,gcn,29,5,1329,2,0.9948717948717949,0.8923076923076924,15
70,73,240102_30C_fig_SW182_01,22,25,gcn,18,3,529,0,0.9945454545454545,0.9230769230769231,15
77,81,240102_30C_fig_SX387_05,9,9,gcn,9,0,72,0,1.0,1.0,20
115,118,240102_30C_fig_SW182_01,44,51,gcn,37,5,2202,0,0.9977718360071302,0.9367088607594937,15
35,37,240102_30C_fig_SX387_01,19,19,gcn,19,0,342,0,1.0,1.0,10
24,26,240102_30C_fig_SX387_05,4,4,gcn,4,0,12,0,1.0,1.0,10
88,91,240102_30C_fig_SX387_05,15,15,gcn,15,0,210,0,1.0,1.0,15
94,96,240102_30C_fig_SX387_03,47,47,gcn,47,0,2162,0,1.0,1.0,10
47,49,240102_30C_fig_SX387_01,31,34,gcn,27,4,1022,1,0.9952561669829222,0.9152542372881356,10
69,72,240102_30C_fig_SX387_03,24,27,gcn,21,2,625,0,0.9969135802469136,0.9545454545454546,15
73,76,240102_30C_fig_SX387_03,27,32,gcn,22,4,838,0,0.9953703703703703,0.9166666666666666,15
23,24,240102_30C_fig_SX387_05,4,4,gcn,4,0,12,0,1.0,1.0,5
23,27,240102_30C_fig_SX387_03,12,12,gcn,12,0,132,0,1.0,1.0,20
7,8,240102_30C_fig_SW182_01,7,7,gcn,7,0,42,0,1.0,1.0,5
4,8,240102_30C_fig_SX387_01,10,12,gcn,8,2,110,0,0.9833333333333333,0.8888888888888888,20
26,28,240102_30C_fig_SX387_03,12,12,gcn,12,0,132,0,1.0,1.0,10
75,78,240102_30C_fig_SX387_05,8,9,gcn,7,1,64,0,0.9861111111111112,0.9333333333333333,15
139,140,240102_30C_fig_SW182_01,64,66,gcn,62,0,4162,0,1.0,1.0,5
24,25,240102_30C_fig_SX387_05,4,4,gcn,4,0,12,0,1.0,1.0,5
111,115,240102_30C_fig_SW182_01,41,44,gcn,38,2,1764,0,0.9988913525498891,0.9743589743589743,20
42,46,240102_30C_fig_SX387_05,5,8,gcn,2,2,36,0,0.95,0.6666666666666666,20
89,91,240102_30C_fig_SX387_03,45,47,gcn,43,1,2071,0,0.9995271867612293,0.9885057471264368,10
70,72,240102_30C_fig_SX387_03,26,27,gcn,25,1,676,0,0.9985754985754985,0.9803921568627451,10
46,49,240102_30C_fig_SX387_01,29,34,gcn,23,5,957,1,0.9939148073022313,0.8846153846153846,15
117,121,240102_30C_fig_SW182_01,47,53,gcn,41,4,2446,0,0.9983942191890807,0.9534883720930233,20
71,74,240102_30C_fig_SX387_05,8,8,gcn,8,0,56,0,1.0,1.0,15
75,78,240102_30C_fig_SW182_01,27,28,gcn,26,1,729,0,0.9986772486772487,0.9811320754716981,15
45,49,240102_30C_fig_SX387_01,28,34,gcn,22,3,927,0,0.9968487394957983,0.9361702127659575,20
8,10,240102_30C_fig_SX387_05,4,4,gcn,4,0,12,0,1.0,1.0,10
127,131,240102_30C_fig_SW182_01,57,60,gcn,54,2,3364,0,0.9994152046783625,0.9818181818181818,20
12,14,240102_30C_fig_SX387_05,4,4,gcn,4,0,12,0,1.0,1.0,10
97,101,240102_30C_fig_SX387_03,47,47,gcn,47,0,2162,0,1.0,1.0,20
134,136,240102_30C_fig_SW182_01,61,63,gcn,59,1,3783,0,0.9997397866250325,0.9915966386554622,10
58,59,240102_30C_fig_SW182_01,17,18,gcn,16,1,289,0,0.9967320261437909,0.9696969696969697,5
15,19,240102_30C_fig_SX387_05,4,4,gcn,4,0,12,0,1.0,1.0,20
67,69,240102_30C_fig_SX387_05,8,8,gcn,8,0,56,0,1.0,1.0,10
130,133,240102_30C_fig_SW182_01,58,61,gcn,55,1,3482,0,0.9997173544375353,0.990990990990991,15
61,64,240102_30C_fig_SW182_01,19,20,gcn,18,1,361,0,0.9973684210526316,0.972972972972973,15
52,55,240102_30C_fig_SX387_01,35,36,gcn,34,1,1225,0,0.9992063492063492,0.9855072463768116,15
46,48,240102_30C_fig_SW182_01,16,17,gcn,15,1,256,0,0.9963235294117647,0.967741935483871,10
103,106,240102_30C_fig_SX387_05,16,16,gcn,16,0,240,0,1.0,1.0,15
